Hhid,InstoreVisits,InstoreSpend,InstoreQuantity,OnlineVisits,OnlineSpend,OnlineQuantity,TotalVisits,TotalSpend,TotalQuantity
245851,45,1583.78,1007,0,0,0,45,1583.78,1007
246591,25,629.82,71,0,0,0,25,629.82,71
247601,26,294.44,150,0,0,0,26,294.44,150
247941,43,1431.84,947,0,0,0,43,1431.84,947
248911,6,325.51,7,0,0,0,6,325.51,7
249311,46,355.48,262,0,0,0,46,355.48,262
249651,7,239.68,124,0,0,0,7,239.68,124
249991,6,368.64,215,10,1229.78,805,16,1598.42,1020
252491,55,1335.03,559,0,0,0,55,1335.03,559
252721,3,48.17,10,0,0,0,3,48.17,10
252911,35,2024.32,1469,0,0,0,35,2024.32,1469
253271,10,326.75,250,0,0,0,10,326.75,250
253841,22,797.23,363,6,444.63,314,28,1241.86,677
254051,57,1193.21,981,0,0,0,57,1193.21,981
256671,0,0,0,24,1206.72,1083,24,1206.72,1083
257641,60,737.06,627,0,0,0,60,737.06,627
257981,13,286.08,189,0,0,0,13,286.08,189
258191,47,2122.09,1384,5,390.07,254,52,2512.16,1638
258421,42,2362.73,1590,0,0,0,42,2362.73,1590
258951,107,2015.11,1222,0,0,0,107,2015.11,1222
259011,24,388.8,111,0,0,0,24,388.8,111
260671,75,682,612,0,0,0,75,682,612
260861,4,64.69,41,0,0,0,4,64.69,41
260901,14,263.39,143,0,0,0,14,263.39,143
261261,12,201.24,48,0,0,0,12,201.24,48
261451,8,263.6,164,0,0,0,8,263.6,164
261791,13,310.79,244,0,0,0,13,310.79,244
261831,36,434.32,346,0,0,0,36,434.32,346
262611,1,12.56,7,0,0,0,1,12.56,7
262761,11,204.83,83,0,0,0,11,204.83,83
263161,23,901.79,322,0,0,0,23,901.79,322
263351,15,309.69,222,0,0,0,15,309.69,222
263731,2,8.15,5,0,0,0,2,8.15,5
263921,2,100.56,9,6,710.24,361,8,810.8,370
264131,13,426.67,255,0,0,0,13,426.67,255
264281,23,497.8,450,0,0,0,23,497.8,450
264851,30,235.21,117,0,0,0,30,235.21,117
265251,42,894.13,438,0,0,0,42,894.13,438
265631,61,2739.08,1595,0,0,0,61,2739.08,1595
266601,95,4937.52,2330,0,0,0,95,4937.52,2330
266751,33,461.56,404,0,0,0,33,461.56,404
267871,75,3559.33,1022,0,0,0,75,3559.33,1022
267911,39,808.28,465,0,0,0,39,808.28,465
270031,67,2572.96,1378,0,0,0,67,2572.96,1378
270601,11,186.76,82,0,0,0,11,186.76,82
271341,38,581.22,301,0,0,0,38,581.22,301
271911,54,424.38,364,0,0,0,54,424.38,364
272271,27,313.76,241,0,0,0,27,313.76,241
272461,8,308.05,248,0,0,0,8,308.05,248
272651,105,1738.16,705,0,0,0,105,1738.16,705
273811,36,188.66,154,0,0,0,36,188.66,154
274361,4,42.16,24,0,0,0,4,42.16,24
275671,201,1604.28,1185,0,0,0,201,1604.28,1185
276071,25,2087.4,979,0,0,0,25,2087.4,979
276111,47,2673.78,1248,10,951.92,578,57,3625.7,1826
276451,25,450.92,192,0,0,0,25,450.92,192
276831,14,170.01,36,0,0,0,14,170.01,36
279131,4,214.24,4,0,0,0,4,214.24,4
281231,48,2049.23,885,17,1906.02,1333,65,3955.25,2218
281761,8,118.25,69,0,0,0,8,118.25,69
281951,50,2576.3,1456,0,0,0,50,2576.3,1456
284821,80,2164.69,1637,0,0,0,80,2164.69,1637
285031,3,109.7,53,0,0,0,3,109.7,53
285561,8,191.56,41,0,0,0,8,191.56,41
287651,16,611.89,463,0,0,0,16,611.89,463
288241,38,1052.38,138,0,0,0,38,1052.38,138
288581,43,529.69,422,0,0,0,43,529.69,422
288771,139,761.57,539,0,0,0,139,761.57,539
289021,1,5,1,0,0,0,1,5,1
289361,4,104.54,26,0,0,0,4,104.54,26
289931,6,86.03,53,0,0,0,6,86.03,53
290001,55,2365.11,1437,0,0,0,55,2365.11,1437
291991,2,38.91,30,0,0,0,2,38.91,30
292051,124,1930.84,1053,0,0,0,124,1930.84,1053
